Pin Count,Color Count,Strategy,Solver,Initial Guess,Average Turns,Max Turns,Elapsed (s),Big Regions,FDOpt Games,FDOpt Regions,Scores,Tiny Games,Tiny Regions,Total Codewords,GPU CUDA Capability,GPU CUDA Driver Version,GPU CUDA Runtime Version,GPU Constant Memory,GPU Cores,GPU Cores/MP,GPU Global Memory,GPU L2 Cache Size,GPU Max Clock Rate MHz,GPU Memory Bus Width,GPU Memory Clock Rate MHz,GPU Multiprocessors,GPU Name,GPU Registers per block,GPU Shared Memory per MP,GPU Shared Memory per block,GPU Threads per Block,GPU Threads per MP,GPU Warp Size,Git Branch,Git Commit Date,Git Commit Hash,HW CPU Arch,HW CPU Brand String,HW CPU Cacheline Size,HW CPU L1 dCache Size,HW CPU L1 iCache Size,HW CPU L2 Cache Size,HW CPU L3 Cache Size,HW CPU Logical Count,HW CPU Physical Count,HW Memory Size,Machine Name,OS Kernel Name,OS Kernel Version,OS Product Version,OS Version String
7,7,Knuth,CUDA,1112222,6.29226,9,15.3847,568,409012,136336,2646619584627,854638,720146,823543,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,7,Most Parts,CUDA,1112222,6.23554,10,14.8853,533,382417,127471,2663604669684,823338,732003,823543,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,7,Expected Size,CUDA,1112222,6.43883,9,17.2373,555,398224,132740,2765889685714,867377,738148,823543,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,7,Entropy,CUDA,1112222,6.16314,9,16.678,518,372484,124160,2579921736463,853480,743734,823543,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,8,Knuth,CUDA,1112222,6.70568,9,110.095,1412,1021000,340332,18986082690577,2177325,1837097,2097152,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,8,Most Parts,CUDA,1112222,6.65631,10,104.364,1342,966178,322058,19105792540684,2108719,1867130,2097152,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,8,Expected Size,CUDA,1112222,6.98351,11,124.468,1405,1013071,337689,20313654384906,2200884,1878124,2097152,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,8,Entropy,CUDA,1112222,6.55475,9,116.384,1304,938737,312911,18424399141389,2169492,1890658,2097152,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,9,Knuth,CUDA,1112222,7.06575,10,889.454,3189,2307316,769104,106916350480159,4967428,4192370,4782969,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,9,Most Parts,CUDA,1112222,7.05486,11,841.945,3051,2197360,732452,108425326677721,4819973,4269330,4782969,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,9,Expected Size,CUDA,1112222,7.54416,12,1021.4,3137,2263789,754595,118445080050661,5015065,4285914,4782969,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,9,Entropy,CUDA,1112222,6.91711,10,911.464,2923,2105950,701982,104170251456866,4949291,4320328,4782969,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
