Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
2,2,First One,,21,2,3,5.111e-06,0.00127775,17,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,2020-12-06 17:35:57 -0800,9b3fd34,master
2,2,First One,,22,2,3,1.653e-06,0.00041325,17,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-06 17:35:57 -0800,9b3fd34,master
2,3,First One,,32,2.33333,3,4.928e-06,0.000547556,74,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,2020-12-06 17:35:57 -0800,9b3fd34,master
2,3,First One,,33,2.66667,4,4.299e-06,0.000477667,81,0,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,2020-12-06 17:35:57 -0800,9b3fd34,master
2,4,First One,,43,2.8125,4,1.175e-05,0.000734375,165,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,2020-12-06 17:35:57 -0800,9b3fd34,master
2,4,First One,,44,3.3125,5,7.633e-06,0.000477063,157,0,0,1,2,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,2020-12-06 17:35:57 -0800,9b3fd34,master
2,5,First One,,54,3.36,5,1.654e-05,0.0006616,301,0,0,1,4,8,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,25,2020-12-06 17:35:57 -0800,9b3fd34,master
2,5,First One,,55,3.96,6,1.1929e-05,0.00047716,296,0,0,1,2,5,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,25,2020-12-06 17:35:57 -0800,9b3fd34,master
2,6,First One,,65,3.94444,6,2.3035e-05,0.000639861,522,0,0,1,4,8,9,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,36,2020-12-06 17:35:57 -0800,9b3fd34,master
2,6,First One,,66,4.61111,7,1.778e-05,0.000493889,522,0,0,1,2,5,7,9,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,36,2020-12-06 17:35:57 -0800,9b3fd34,master
