Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
6,2,First One,,222111,3.57812,5,4.6161e-05,0.000721266,1829,0,0,1,9,18,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211112,64,2020-12-06 17:35:57 -0800,9b3fd34,master
6,2,First One,,222211,3.60938,6,3.1539e-05,0.000492797,1878,0,0,1,11,19,17,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211112,64,2020-12-06 17:35:57 -0800,9b3fd34,master
6,2,First One,,222221,3.875,6,2.9555e-05,0.000461797,1895,0,0,1,10,13,16,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211111,64,2020-12-06 17:35:57 -0800,9b3fd34,master
6,2,First One,,222222,4.4375,7,3.346e-05,0.000522812,2491,0,0,1,6,9,14,19,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211111,64,2020-12-06 17:35:57 -0800,9b3fd34,master
6,3,First One,,332211,3.97531,7,0.000763402,0.00104719,38063,0,0,1,20,161,381,149,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213213,729,2020-12-06 17:35:57 -0800,9b3fd34,master
6,3,First One,,333221,3.97531,7,0.000448432,0.000615133,39259,0,0,1,24,190,315,176,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321131,729,2020-12-06 17:35:57 -0800,9b3fd34,master
6,3,First One,,333222,4.05213,7,0.000403547,0.000553562,37542,0,0,1,24,163,317,198,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321113,729,2020-12-06 17:35:57 -0800,9b3fd34,master
6,3,First One,,333321,4.10425,7,0.000399175,0.000547565,35142,0,0,1,21,186,277,186,53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211112,729,2020-12-06 17:35:57 -0800,9b3fd34,master
6,3,First One,,333322,4.08779,7,0.000408677,0.000560599,36455,0,0,1,22,168,306,187,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211113,729,2020-12-06 17:35:57 -0800,9b3fd34,master
6,3,First One,,333332,4.39095,7,0.000414224,0.000568209,31949,0,0,1,16,134,227,257,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211111,729,2020-12-06 17:35:57 -0800,9b3fd34,master
