Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
7,2,First One,,2222111,4,7,0.00015038,0.00117484,5701,0,0,1,13,29,41,32,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211112,128,2020-12-06 17:35:57 -0800,9b3fd34,master
7,2,First One,,2222211,4.11719,7,8.5127e-05,0.000665055,5461,0,0,1,14,26,32,40,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111112,128,2020-12-06 17:35:57 -0800,9b3fd34,master
7,2,First One,,2222221,4.45312,7,8.0863e-05,0.000631742,5772,0,0,1,12,19,28,38,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111111,128,2020-12-06 17:35:57 -0800,9b3fd34,master
7,2,First One,,2222222,5.04688,8,9.3193e-05,0.00072807,8063,0,0,1,7,12,22,33,35,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111111,128,2020-12-06 17:35:57 -0800,9b3fd34,master
7,3,First One,,3332211,4.41564,8,0.00490035,0.00224067,150837,0,0,1,28,307,831,791,204,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3212323,2187,2020-12-06 17:35:57 -0800,9b3fd34,master
7,3,First One,,3332221,4.39598,7,0.00345848,0.00158138,160358,0,0,1,32,324,785,844,190,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111331,2187,2020-12-06 17:35:57 -0800,9b3fd34,master
7,3,First One,,3333221,4.43073,7,0.00186356,0.00085211,155404,0,0,1,31,339,782,760,236,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321131,2187,2020-12-06 17:35:57 -0800,9b3fd34,master
7,3,First One,,3333222,4.45039,8,0.00178445,0.000815936,157790,0,0,1,31,296,795,822,204,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211113,2187,2020-12-06 17:35:57 -0800,9b3fd34,master
7,3,First One,,3333321,4.58162,8,0.00209802,0.000959314,142772,0,0,1,26,313,656,802,332,54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111112,2187,2020-12-06 17:35:57 -0800,9b3fd34,master
7,3,First One,,3333322,4.55876,8,0.00309561,0.00141546,146599,0,0,1,27,285,703,829,293,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111113,2187,2020-12-06 17:35:57 -0800,9b3fd34,master
7,3,First One,,3333332,4.8834,8,0.00175919,0.000804384,143004,0,0,1,19,218,494,851,479,118,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111111,2187,2020-12-06 17:35:57 -0800,9b3fd34,master
7,3,First One,,3333333,5.45542,9,0.00192954,0.000882279,134416,0,0,1,7,104,278,686,785,263,56,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111111,2187,2020-12-06 17:35:57 -0800,9b3fd34,master
7,4,First One,,4433221,4.98926,8,0.0346221,0.00211316,1516105,0,0,1,32,488,3585,8133,3817,316,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142124,16384,2020-12-06 17:35:57 -0800,9b3fd34,master
7,4,First One,,4443321,5.01471,9,0.0248788,0.00151848,1517134,0,0,1,32,535,3616,7667,4063,447,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111132,16384,2020-12-06 17:35:57 -0800,9b3fd34,master
7,4,First One,,4443322,5.0036,8,0.0168193,0.00102657,1547673,0,0,1,34,564,3741,7564,3947,512,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142132,16384,2020-12-06 17:35:57 -0800,9b3fd34,master
7,4,First One,,4443332,5.00293,8,0.0166374,0.00101547,1537711,0,0,1,34,585,3825,7349,4054,513,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432131,16384,2020-12-06 17:35:57 -0800,9b3fd34,master
7,4,First One,,4444321,5.12097,8,0.0150924,0.000921168,1476347,0,0,1,31,486,3409,6953,4603,846,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432132,16384,2020-12-06 17:35:57 -0800,9b3fd34,master
7,4,First One,,4444332,5.05835,8,0.0354983,0.00216664,1530831,0,0,1,33,561,3614,7157,4279,701,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143211,16384,2020-12-06 17:35:57 -0800,9b3fd34,master
7,4,First One,,4444333,5.13916,9,0.0308974,0.00188582,1480573,0,0,1,31,540,3360,6658,4866,844,73,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111111,16384,2020-12-06 17:35:57 -0800,9b3fd34,master
7,4,First One,,4444432,5.19098,10,0.0432326,0.00263871,1441516,0,0,1,28,459,3171,6618,5001,1021,78,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4313232,16384,2020-12-06 17:35:57 -0800,9b3fd34,master
7,4,First One,,4444433,5.21613,9,0.0208728,0.00127398,1420815,0,0,1,27,463,3148,6443,5061,1096,133,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111111,16384,2020-12-06 17:35:57 -0800,9b3fd34,master
7,4,First One,,4444443,5.48499,9,0.0147262,0.000898813,1331481,0,0,1,19,289,2369,5292,6127,2048,225,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412323,16384,2020-12-06 17:35:57 -0800,9b3fd34,master
7,4,First One,,4444444,6.06537,10,0.014304,0.000873047,1296000,0,0,1,7,104,1213,3193,6128,4563,1060,108,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3222222,16384,2020-12-06 17:35:57 -0800,9b3fd34,master
7,5,First One,,5544321,5.58737,10,0.339516,0.0043458,8596144,0,0,1,32,554,6036,27533,35351,8087,518,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4135231,78125,2020-12-06 17:35:57 -0800,9b3fd34,master
7,5,First One,,5544332,5.50871,9,0.230496,0.00295035,8858913,0,0,1,34,620,7119,30221,32473,7247,399,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111123,78125,2020-12-06 17:35:57 -0800,9b3fd34,master
7,5,First One,,5554321,5.64311,10,0.203499,0.00260479,8513178,0,0,1,32,548,5759,26209,34769,10016,768,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5132414,78125,2020-12-06 17:35:57 -0800,9b3fd34,master
7,5,First One,,5554432,5.57034,9,0.206682,0.00264553,8811282,0,0,1,34,634,6790,28235,32836,8922,650,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514243,78125,2020-12-06 17:35:57 -0800,9b3fd34,master
