Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
3,2,First One,,221,2.25,3,6.912e-06,0.000864,60,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,8,2020-12-06 17:35:57 -0800,9b3fd34,master
3,2,First One,,222,2.625,4,4.172e-06,0.0005215,69,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,8,2020-12-06 17:35:57 -0800,9b3fd34,master
3,3,First One,,321,2.96296,4,1.8055e-05,0.000668704,437,0,0,1,6,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,27,2020-12-06 17:35:57 -0800,9b3fd34,master
3,3,First One,,332,2.7037,4,1.2736e-05,0.000471704,413,0,0,1,7,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,27,2020-12-06 17:35:57 -0800,9b3fd34,master
3,3,First One,,333,3.2963,5,1.3321e-05,0.00049337,403,0,0,1,3,12,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,27,2020-12-06 17:35:57 -0800,9b3fd34,master
3,4,First One,,432,3.3125,5,4.0262e-05,0.000629094,1257,0,0,1,8,26,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,64,2020-12-06 17:35:57 -0800,9b3fd34,master
3,4,First One,,443,3.375,5,3.1107e-05,0.000486047,1299,0,0,1,7,27,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,64,2020-12-06 17:35:57 -0800,9b3fd34,master
3,4,First One,,444,3.90625,6,3.8949e-05,0.000608578,1211,0,0,1,3,12,35,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,64,2020-12-06 17:35:57 -0800,9b3fd34,master
3,5,First One,,543,3.728,6,8.1736e-05,0.000653888,2922,0,0,1,8,32,68,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,125,2020-12-06 17:35:57 -0800,9b3fd34,master
3,5,First One,,554,3.944,6,6.1926e-05,0.000495408,2777,0,0,1,7,27,59,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,125,2020-12-06 17:35:57 -0800,9b3fd34,master
