Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU FPS,GPU Kernels,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
2,3,First One,,11,2.66667,4,4.197e-06,0.000466333,81,,,0,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9,2020-12-05 17:58:10 -0800,6bacb03,master
2,3,First One,,12,2.33333,3,3.875e-06,0.000430556,78,,,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-05 17:58:10 -0800,6bacb03,master
2,4,Knuth,CPU,11,3.3125,5,1.292e-05,0.0008075,468,0,0,0,0,1,2,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,16,2020-12-05 17:58:10 -0800,6bacb03,master
2,4,Knuth,CPU,12,2.8125,4,8.653e-06,0.000540812,330,0,0,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2020-12-05 17:58:10 -0800,6bacb03,master
2,4,Most Parts,CPU,11,3.125,4,1.0928e-05,0.000683,399,0,0,0,0,1,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2020-12-05 17:58:10 -0800,6bacb03,master
2,4,Most Parts,CPU,12,2.8125,4,8.548e-06,0.00053425,330,0,0,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2020-12-05 17:58:10 -0800,6bacb03,master
2,4,Entropy,CPU,11,3.125,4,1.1461e-05,0.000716312,399,0,0,0,0,1,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2020-12-05 17:58:10 -0800,6bacb03,master
2,4,Entropy,CPU,12,2.8125,4,1.069e-05,0.000668125,330,0,0,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2020-12-05 17:58:10 -0800,6bacb03,master
2,4,Expected Size,CPU,11,3.125,4,9.956e-06,0.00062225,399,0,0,0,0,1,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2020-12-05 17:58:10 -0800,6bacb03,master
2,4,Expected Size,CPU,12,2.875,4,1.0146e-05,0.000634125,337,0,0,0,0,1,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2020-12-05 17:58:10 -0800,6bacb03,master
2,4,First One,,11,3.3125,5,7.173e-06,0.000448312,157,,,0,0,1,2,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,16,2020-12-05 17:58:10 -0800,6bacb03,master
2,4,First One,,12,2.9375,5,7.48e-06,0.0004675,173,,,0,0,1,4,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,16,2020-12-05 17:58:10 -0800,6bacb03,master
2,5,Knuth,CPU,11,3.64,5,2.9482e-05,0.00117928,1260,0,0,0,0,1,2,5,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,2020-12-05 17:58:10 -0800,6bacb03,master
2,5,Knuth,CPU,12,3.36,5,1.7313e-05,0.00069252,1073,0,0,0,0,1,4,6,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,25,2020-12-05 17:58:10 -0800,6bacb03,master
2,5,Most Parts,CPU,11,3.64,5,1.8761e-05,0.00075044,1260,0,0,0,0,1,2,5,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,2020-12-05 17:58:10 -0800,6bacb03,master
2,5,Most Parts,CPU,12,3.24,4,1.6351e-05,0.00065404,968,0,0,0,0,1,4,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,2020-12-05 17:58:10 -0800,6bacb03,master
2,5,Entropy,CPU,11,3.64,5,2.8769e-05,0.00115076,1260,0,0,0,0,1,2,5,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,2020-12-05 17:58:10 -0800,6bacb03,master
2,5,Entropy,CPU,12,3.24,4,2.0943e-05,0.00083772,933,0,0,0,0,1,3,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,2020-12-05 17:58:10 -0800,6bacb03,master
