Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
5,2,First One,,22211,3.03125,4,2.3108e-05,0.000722125,610,0,0,1,8,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11221,32,2020-12-06 17:35:57 -0800,9b3fd34,master
5,2,First One,,22221,3.3125,5,1.4276e-05,0.000446125,638,0,0,1,8,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111,32,2020-12-06 17:35:57 -0800,9b3fd34,master
5,2,First One,,22222,3.84375,6,1.5016e-05,0.00046925,778,0,0,1,5,6,8,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111,32,2020-12-06 17:35:57 -0800,9b3fd34,master
5,3,First One,,33221,3.55556,6,0.000206491,0.000849757,9047,0,0,1,17,95,107,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31212,243,2020-12-06 17:35:57 -0800,9b3fd34,master
5,3,First One,,33321,3.60082,6,0.000121769,0.000501107,8925,0,0,1,16,96,100,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21112,243,2020-12-06 17:35:57 -0800,9b3fd34,master
5,3,First One,,33322,3.61728,6,0.000120788,0.00049707,8711,0,0,1,17,87,109,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32111,243,2020-12-06 17:35:57 -0800,9b3fd34,master
5,3,First One,,33332,3.87243,6,0.000112392,0.000462519,8526,0,0,1,13,77,88,53,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111,243,2020-12-06 17:35:57 -0800,9b3fd34,master
5,3,First One,,33333,4.46091,7,0.000179431,0.000738399,7999,0,0,1,5,43,67,90,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111,243,2020-12-06 17:35:57 -0800,9b3fd34,master
5,4,First One,,44321,4.18945,6,0.000921287,0.000899694,49244,0,0,1,17,144,512,325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14132,1024,2020-12-06 17:35:57 -0800,9b3fd34,master
5,4,First One,,44332,4.09277,8,0.00065438,0.000639043,51505,0,0,1,19,177,549,248,26,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43211,1024,2020-12-06 17:35:57 -0800,9b3fd34,master
