Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU FPS,GPU Kernels,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
3,2,Knuth,CPU,111,2.625,4,2.3534e-05,0.00294175,119,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,8,2020-12-05 17:58:10 -0800,6bacb03,master
3,2,Knuth,CPU,112,2.25,3,3.943e-06,0.000492875,63,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,8,2020-12-05 17:58:10 -0800,6bacb03,master
3,2,Most Parts,CPU,111,2.625,4,6.531e-06,0.000816375,119,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,8,2020-12-05 17:58:10 -0800,6bacb03,master
3,2,Most Parts,CPU,112,2.25,3,6.202e-06,0.00077525,63,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,8,2020-12-05 17:58:10 -0800,6bacb03,master
3,2,Entropy,CPU,111,2.625,4,2.1995e-05,0.00274938,119,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,8,2020-12-05 17:58:10 -0800,6bacb03,master
3,2,Entropy,CPU,112,2.25,3,3.509e-06,0.000438625,63,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,8,2020-12-05 17:58:10 -0800,6bacb03,master
3,2,Expected Size,CPU,111,2.625,4,5.583e-06,0.000697875,119,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,8,2020-12-05 17:58:10 -0800,6bacb03,master
3,2,Expected Size,CPU,112,2.25,3,4.379e-06,0.000547375,63,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,8,2020-12-05 17:58:10 -0800,6bacb03,master
3,3,Knuth,CPU,111,3.22222,4,2.6724e-05,0.000989778,1110,0,0,0,0,1,2,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,27,2020-12-05 17:58:10 -0800,6bacb03,master
3,3,Knuth,CPU,112,2.74074,4,1.42e-05,0.000525926,566,0,0,0,0,1,7,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,27,2020-12-05 17:58:10 -0800,6bacb03,master
